"","Account.length","International.plan","Voice.mail.plan","Number.vmail.messages","Total.day.minutes","Total.day.calls","Total.day.charge","Total.eve.minutes","Total.eve.calls","Total.eve.charge","Total.night.minutes","Total.night.calls","Total.night.charge","Total.intl.minutes","Total.intl.calls","Total.intl.charge","Customer.service.calls","Churn"
"112",91,1,0,0,129.9,90,22.08,173.3,83,14.73,152.2,130,9.03963888888889,11.2,3,3.02,3,"0"
"113",100.896779200621,0,1,21,175.8,97,29.89,217.5,106,18.39,237.5,134,9.03963888888889,5.3,4,1.43,1.56590370955012,"0"
"114",91,0,0,0,203.1,106,34.53,210.1,113,17.86,195.6,129,8.8,12,3,3.24,3,"0"
"115",127,0,1,36,183.2,117,31.14,126.8,76,10.78,263.3,71,11.85,11.2,8,3.02,1,"0"
"116",113,0,1,23,213.1,101,34.85,152,60,17.0312157809984,158.6,59,7.14,10.2,5,2.75,2,"0"
"117",110,0,0,0,148.5,115,25.25,276.4,84,23.49,193.6,112,8.71,12.4,3,3.35,1,"0"
"118",120,0,1,39,200.3,68,34.05,220.4,97,18.73,253.8,116,11.42,10.5,4,2.84,0,"0"
"119",157,0,1,28,192.6,107,32.74,195.5,100.174979887369,16.62,109.7,139,4.94,6.8,5,1.84,3,"0"
"120",103,0,0,0,246.5,47,41.91,195.5,84,16.62,200.5,96,9.02,11.7,4,3.16,1,"0"
"121",117,1,0,0,167.1,86,28.41,177.5,87,15.09,249.4,132,11.22,14.1,7,3.81,2,"1"
"122",140,0,0,0,231.9,101,39.42,160.1,94,13.61,110.4,98,4.97,14.3,6,3.86,3,"0"
"123",83,1,0,0,271.5,87,46.16,216.3,126,18.39,121.1,105,5.45,11.7,4,3.16,1,"0"
"124",145,0,1,8.07234042553191,257.7,97,43.81,162.1,82,13.78,286.9,86,12.91,11.1,4,3,2,"0"
"125",113,0,0,0,179.567454268293,99,32.95,221.4,125,18.82,172.3,67,7.75,10.6,6,2.77319131832797,1,"0"
"126",56,0,0,0,226,112,38.42,248.5,100.174979887369,21.12,140.5,142,6.32,6.9,4.480805777271,1.86,1,"0"
"127",96,0,0,0,260.4,115,44.27,152.7,100.174979887369,17.0312157809984,201.866098254162,146,12.13,10.2141082164329,4,3.11,1.56590370955012,"0"
"128",151,0,0,0,178.7,116,30.38,292.1,138,24.83,265.9,101,11.97,9.8,4,2.65,0,"0"
"129",83,0,0,0,179.567454268293,120,30.5681755725191,200.355623332063,116,19.33,153.9,114,6.93,15.8,7,4.27,0,"1"
"130",139,0,1,23,157.6,129,26.79,247,96,21,201.866098254162,112,7.76,13.7,2,3.7,0,"0"
"131",115,0,1,24,142.1,124,24.16,183.4,129,17.0312157809984,164.8,114,7.42,9.6,4,2.59,1,"0"
"132",87,0,0,0,179.567454268293,100.082348455966,23.17,172.2,108,14.64,137.5,101,6.19,7.1,5,1.92,0,"0"
"133",141,0,0,0,217.1,110,36.91,241.5,111,20.53,253.5,103,11.41,12,6,3.24,0,"0"
"134",141,0,1,36,187.5,99,31.88,241.4,116,20.52,229.5,105,10.33,10.5,4,2.84,3,"0"
"135",62,0,0,0,189.6,103,16.81,210.5,122,11.51,236.6,82,10.65,12.2,1,3.29,1,"0"
"136",146,0,0,0,206.3,120,35.07,148.6,89,12.63,167.2,91,7.52,6.1,3,1.65,1,"0"
"137",92,0,1,33,243.1,92,41.33,213.8,92,18.17,201.866098254162,104,10.29,12.1,2,2.77319131832797,2,"0"
"138",185,0,1,31,189.8,83,32.27,163.3,133,13.88,264.8,126,11.92,7.5,3,2.03,1,"0"
"139",148,0,0,0,202,102,34.34,243.2,128,20.67,261.3,71,11.76,10.9,3,2.94,1,"0"
"140",94,0,1,38,170.1,124,28.92,193.3,116,16.43,105.9,73,4.77,12.8,4,3.46,1,"0"
"141",68,0,0,0,237.1,105,30.5681755725191,223.5,100.174979887369,19,97.4,100.152015355086,4.38,13.2,2,3.56,1,"0"
"142",179,0,0,0,219.2,92,37.26,149.4,100.174979887369,12.7,244.7,104,11.01,6.1,5,1.65,0,"0"
"143",94,0,0,0,252.6,104,42.94,169,125,14.37,170.9,106,7.69,11.1,7,3,2,"0"
"144",100.896779200621,0,0,0,147.1,91,25.01,190.4,107,16.18,195.2,115,8.78,12.2,3,3.29,0,"0"
"145",116,0,0,0,173.5,93,29.5,181.2,76,16.5,201.866098254162,112,9.36,16.2,10,4.37,3,"0"
"146",70,0,0,0,232.1,120,39.46,292.3,112,24.85,201.2,112,9.05,10.2141082164329,0,2.77319131832797,3,"0"
"147",94,1,1,23,197.1,125,33.51,214.5,136,17.0312157809984,282.2,103,12.7,9.5,5,2.77319131832797,1.56590370955012,"0"
"148",126,0,0,0,58.2,94,9.89,138.7,118,11.79,136.8,91,6.16,11.9,5,3.21,1.56590370955012,"1"
"149",67,0,1,36,115.6,111,19.65,237.7,94,20.2,169.9,103,7.65,9.9,4.480805777271,2.67,2,"0"
"150",19,0,0,0,62.3,98,31.64,254.3,57,21.62,214,127,9.63,14.6,7,3.94,2,"0"
"151",170,1,0,0,259.9,68,44.18,245,122,20.83,201.866098254162,121,6.05,8.4,3,2.27,3,"0"
"152",73,0,0,0,214.3,145,36.43,268.5,107,22.82,241.2,92,10.85,10.8,4.480805777271,2.92,1,"0"
"153",106,0,0,0,158.7,74,26.28,64.3,139,17.0312157809984,198.5,103,8.93,10.2,4,2.75,1,"0"
"154",164,0,0,0,160.6,111,27.3,163.2,126,13.87,187.1,112,8.42,9,3,2.43,1,"0"
"155",51,0,0,0,232.4,109,39.51,187.4,95,15.93,231.2,107,10.4,9.1,3,2.46,1,"0"
"156",107,0,0,0,179.567454268293,85,22.75,180.5,94,15.34,112.2,115,5.05,8.9,4.480805777271,2.4,0,"0"
"157",130,0,0,0,176.9,109,30.07,90.7,104,7.71,238,69,10.71,9.5,2,2.57,1,"0"
"158",80,0,0,0,209.9,74,32.03,195.1,77,16.58,208.2,119,13.03,8.8,4,2.38,2,"0"
"159",100.896779200621,0,0,0,137.5,118,23.38,203.2,88,17.27,150,131,6.75,13.4,2,3.62,0,"0"
"160",118,0,1,23,179.567454268293,52,49.22,166.6,111,14.16,119.1,88,5.36,9.5,4,2.77319131832797,1,"0"
"161",117,0,1,23,198.1,86,33.68,177,86,15.05,180.5,136,8.12,6.8,6,1.84,1,"0"
"162",78,0,0,0,149.7,119,25.45,182.2,115,15.49,261.5,126,11.77,9.7,8,2.62,0,"0"
"163",131,1,1,26,292.9,101,49.79,199.7,97,16.97,255.3,127,11.49,13.8,7,3.73,1.56590370955012,"1"
"164",63,0,0,0,83,85,14.11,177,106,15.05,245.7,89,11.06,13,3,3.51,0,"0"
"165",53,0,1,8.07234042553191,145.7,146,24.77,220.5,136,18.74,249.9,96,11.25,13.1,5,3.54,3,"0"
"166",62,0,0,0,182.3,101,30.99,328.2,93,27.9,245,131,11.03,11.2,1,3.02,1.56590370955012,"0"
"167",97,0,0,0,169.9,86,37.06,184,94,15.64,240.5,110,10.82,6.4,8,1.73,3,"0"
"168",105,0,0,0,140.6,109,23.9,251.6,51,15.18,217,83,9.76,6.8,3,1.84,2,"0"
"169",157,0,0,0,152.7,100.082348455966,25.96,257.5,80,21.89,198.1,93,8.91,9.4,4,2.54,1,"0"
"170",66,0,1,36,106.7,76,18.14,209.8,77,17.83,190.4,117,8.57,12.1,2,3.27,1,"0"
"171",38,0,0,0,194.4,94,33.05,186.7,95,15.87,223.3,90,10.05,10.8,5,2.92,3,"0"
"172",106,0,0,0,213.9,95,36.36,151.9,70,12.91,260.1,124,11.7,12.2,5,3.29,3,"0"
"173",99,0,0,0,217.2,112,36.92,200.355623332063,89,20.97,226.1,89,10.17,15.8,7,4.27,3,"0"
"174",144,1,0,0,203.5,100,34.6,247.6,103,21.05,194.3,94,8.74,11.9,4.480805777271,3.21,0,"0"
"175",82,0,1,24,105.7,131,26.38,244.5,106,20.78,122.4,68,5.51,10.7,3,2.89,1,"0"
"176",86,0,1,31,167.6,139,28.49,113,118,9.61,246.9,121,11.11,12.2,6,3.29,1,"0"
"177",70,1,0,0,226.7,98,38.54,228.1,148,19.39,201.866098254162,93,9.03963888888889,10.2141082164329,4,2.77319131832797,2,"0"
"178",54,0,0,0,179.3,93,30.48,178.6,100.174979887369,15.18,225.2,131,10.13,11.5,6,3.11,3,"0"
"179",93,0,0,0,151.4,89,25.74,186.4,76,15.84,172.5,120,7.76,10.9,3,2.94,0,"0"
"180",120,0,0,0,180,80,30.6,224.2,82,19.06,265.4,91,11.94,4.7,9,1.27,3,"0"
"181",136,0,0,0,250.2,121,42.53,267.1,118,22.7,151,114,6.8,13,2,3.51,1,"1"
"182",106,0,0,8.07234042553191,223,121,37.91,110.1,98,9.36,188.7,107,8.49,7.1,4.480805777271,1.92,0,"0"
"183",81,0,0,8.07234042553191,183.6,116,31.21,152.6,98,12.97,212.2,99,9.55,12.2,6,3.29,3,"0"
"184",127,0,1,22,166,114,28.22,174.5,103,14.83,244.9,68,11.02,10.2,6,2.75,1,"0"
"185",35,0,0,0,149.3,113,25.38,242.2,100.174979887369,20.59,201.866098254162,104,7.84,8.9,6,2.4,2,"0"
"186",88,0,0,0,65.4,97,11.12,168.2,76,14.3,236,113,10.62,13.8,1,3.73,2,"0"
"187",123,0,0,0,206.9,85,35.17,244.7,78,20.8,221.5,136,9.97,7.7,2,2.08,3,"0"
"188",126,0,1,27,186.2,78,31.65,189.6,83,16.12,76.5,139,3.44,9.6,3,2.59,2,"0"
"189",104,0,1,23,280.2,136,47.63,220.5,112,17.0312157809984,201.866098254162,102,6.16,5.9,3,3.59,1.56590370955012,"0"
"190",93,1,0,0,312,109,53.04,129.4,100,11,217.6,74,9.79,10.5,2,2.84,0,"1"
"191",67,1,1,36,199,110,33.83,291.3,111,24.76,259.3,92,7.98,11,6,2.97,1,"0"
"192",100,0,0,0,203.1,96,34.53,217,126,17.0312157809984,180.9,122,8.14,13.5,2,3.65,3,"0"
"193",53,0,0,0,168.8,97,28.7,220.3,87,18.73,154.3,113,6.94,10.9,2,2.94,1.56590370955012,"0"
"194",92,1,0,0,173.1,140,29.43,240.3,105,20.43,233.2,117,10.49,9,5,2.43,1,"0"
"195",110,0,1,40,202.6,103,34.44,118.8,128,17.0312157809984,234.9,98,10.57,9,9,2.77319131832797,2,"0"
"196",110,0,0,0,74.5,117,33.88,200.8,98,17.07,192.2,101,8.65,9.8,7,2.65,3,"0"
"197",73,0,0,0,192.2,86,32.67,168.6,116,14.33,139.8,87,9.03963888888889,9.4,6,2.54,1,"0"
"198",138,0,0,0,220.2,89,37.43,88.3,125,7.51,195.3,79,8.79,12.9,5,3.48,0,"0"
"199",86,1,0,0,135.1,95,22.97,134.1,102,11.4,223.1,100.152015355086,10.04,12.3,2,3.32,2,"1"
"200",50,0,0,0,253.4,77,43.08,182.4,100.174979887369,15.5,275.8,103,12.41,8.4,2,2.27,1,"0"
"201",100.896779200621,0,0,0,225,81,38.25,176.9,63,15.04,194.3,110,8.74,7.1,2,1.92,3,"0"
"202",108,0,0,0,198.5,99,33.75,267.8,60,22.76,201.866098254162,75,9.03963888888889,9.4,3,2.54,0,"1"
"203",22,0,0,0,110.3,107,18.75,166.5,93,14.15,202.3,96,9.1,9.5,5,2.57,0,"0"
"204",107,0,1,37,60,102,28.48,102.2,80,8.69,261.8,106,11.78,11.1,3,3,0,"0"
"205",51,0,0,0,214.8,94,36.52,149.7,58,17.0312157809984,201.866098254162,66,12.75,10.2,5,2.75,0,"0"
"206",33,0,1,29,157.4,99,26.76,117.9,80,10.02,279.2,79,12.56,13.9,3,3.75,1.56590370955012,"1"
"207",106,0,0,0,207.9,91,35.34,172,109,14.62,191.8,143,8.63,14.4,7,3.89,1.56590370955012,"0"
"208",82,0,0,0,207,90,35.19,232.9,83,19.8,172.4,108,7.76,9.1,8,2.46,3,"0"
"209",97,1,0,0,143.7,117,24.43,273,82,23.21,178.3,81,8.02,10.9,3,2.94,0,"0"
"210",108,0,0,0,138.6,122,23.56,172.3,117,14.65,231.6,92,10.42,9.8,3,2.77319131832797,1,"0"
"211",114,0,0,8.07234042553191,84.7,118,14.4,249.9,86,17.0312157809984,193.4,95,8.7,14.5,8,3.92,1,"0"
"212",59,0,0,0,155.2,79,26.38,235.3,123,20,169.4,80,7.62,8.7,4,2.35,1,"0"
"213",24,0,1,25,164.9,110,28.03,209.3,105,17.79,231.2,55,7.61,6.7,9,1.81,1,"0"
"214",151,0,0,0,134.5,88,22.87,143.1,112,12.16,223.9,61,10.08,15.4,1,4.16,1,"0"
"215",117,0,0,0,161,103,24.36,211.3,108,17.96,185.2,96,8.33,11.5,3,3.11,1,"0"
"216",114,0,1,30,209.5,79,35.05,260,82,22.1,291.6,72,13.12,11.4,6,3.08,1,"0"
"217",114,0,1,28,225.8,89,38.39,193,82,16.41,232.4,100,10.46,8.4,9,2.27,1.56590370955012,"0"
"218",119,0,0,0,98.8,89,23.51,170.5,78,14.49,263.9,98,11.88,13.5,6,2.77319131832797,3,"0"
"219",118,1,0,17,160,123,27.2,175.4,96,14.91,184.8,99,8.32,9.9,3,2.67,2,"0"
"220",101,0,0,0,206.6,105,35.12,224.9,100.174979887369,19.12,249.9,100,11.25,14.6,3,3.94,0,"0"
"221",117,0,0,0,134.7,121,22.9,167.2,83,15.3,200.9,104,9.04,7.7,3,2.08,1,"0"
"222",49,0,1,28,214.4,78,36.45,235.2,100,19.99,206.2,107,9.03963888888889,8,4.480805777271,2.16,3,"0"
"223",139,0,0,0,192.8,104,32.78,234.4,96,19.92,203.2,101,9.14,13,3,3.51,3,"0"
"224",92,0,1,28,151.1,90,25.69,194.8,79,16.56,239.2,114,10.76,10,3,2.7,1,"0"
"225",148,1,0,0,218.9,88,37.21,208,136,17.68,203.3,99,9.15,11.1,4,3,0,"0"
"226",131,0,1,25,192.7,85,32.76,225.9,105,19.2,254.2,59,11.44,10.9,6,2.94,2,"0"
"227",146,1,0,0,179.567454268293,135,34.75,219.1,102,18.62,222.7,114,10.02,10.5,6,2.84,3,"0"
"228",48,0,1,0,211.7,115,35.99,159.9,84,17.0312157809984,144.1,80,6.48,12.2,1,3.29,1,"0"
"229",86,0,1,0,221.6,74,30.5681755725191,288.4,100,24.51,240.3,105,10.81,9,2,2.43,1,"0"
